Fixture,Size,Seed,Epsilon,Pivot,Repetition,Status,RelativeForwardError,PivotComparisons,RowSwaps,ColumnSwaps,EliminationMultipliers,MatrixUpdates,Divisions,OriginalMaxAbs,MaxObservedAbs,GrowthFactor,MinimumAbsolutePivot,TinyPivotCount,RelativeResidual,EncounteredNonFiniteValue,ElapsedMilliseconds
"near-dependent",8,42,0.01,"none",1,Success,5.7781749123589786E-15,0,0,0,28,140,36,5.1506981315798086,5.1506981315798086,1,0.056860237519767418,0,6.1941811388555834E-17,false,0.013599999999999999
"near-dependent",8,42,0.01,"partial",1,Success,5.2689338310671059E-15,28,1,0,28,140,36,5.1506981315798086,5.1506981315798086,1,0.056732891689491638,0,6.1941811388555834E-17,false,0.013899999999999999
"near-dependent",8,42,0.01,"complete",1,Success,5.2697474182024153E-15,196,5,4,28,140,36,5.1506981315798086,5.1506981315798086,1,0.056732891689491638,0,3.0970905694277917E-17,false,0.020799999999999999
"near-dependent",8,42,0.0001,"none",1,Success,1.3713525156562187E-12,0,0,0,28,140,36,5.1414045810680511,5.1414045810680511,1,0.00056860237519768409,0,6.1964497017272905E-17,false,0.0126
"near-dependent",8,42,0.0001,"partial",1,Success,8.3221844825480024E-14,28,1,0,28,140,36,5.1414045810680511,5.1414045810680511,1,0.00056858961231634735,0,6.1964497017267087E-17,false,0.0135
"near-dependent",8,42,0.0001,"complete",1,Success,8.3238924420079828E-14,196,5,4,28,140,36,5.1414045810680511,5.1414045810680511,1,0.00056858961231634724,0,6.1964497017267087E-17,false,0.020299999999999999
"near-dependent",8,42,9.9999999999999995E-07,"none",1,Success,6.428824345967098E-11,0,0,0,28,140,36,5.1413116455629337,5.1413116455629337,1,5.6860237519245184E-06,0,6.1964723957178552E-17,false,0.012500000000000001
"near-dependent",8,42,9.9999999999999995E-07,"partial",1,Success,1.5710559256467759E-11,28,1,0,28,140,36,5.1413116455629337,5.1413116455629337,1,5.6860224756980176E-06,0,6.196472395754001E-17,false,0.013299999999999999
"near-dependent",8,42,9.9999999999999995E-07,"complete",1,Success,1.5710591278440757E-11,196,5,4,28,140,36,5.1413116455629337,5.1413116455629337,1,5.6860224756980176E-06,0,6.196472395754001E-17,false,0.020299999999999999
"near-dependent",8,42,1E-08,"none",1,Success,1.115176486462675E-08,0,0,0,28,140,36,5.141310716207883,5.141310716207883,1,5.6860237524130482E-08,0,1.8589417852947737E-16,false,0.0124
"near-dependent",8,42,1E-08,"partial",1,Success,1.1151764904911634E-08,28,1,0,28,140,36,5.141310716207883,5.141310716207883,1,5.6860237500318864E-08,0,1.2392945235298487E-16,false,0.013100000000000001
"near-dependent",8,42,1E-08,"complete",1,Success,1.1151764881123031E-08,196,5,4,28,140,36,5.141310716207883,5.141310716207883,1,5.6860237500318864E-08,0,4.6473544632369337E-17,false,0.020400000000000001
"near-dependent",8,42,1E-10,"none",1,Success,1.6632876334056722E-06,0,0,0,28,140,36,5.1413107069143322,5.1413107069143322,1,5.6860236004589151E-10,0,6.1964718734343774E-17,false,0.012500000000000001
"near-dependent",8,42,1E-10,"partial",1,Success,1.6359306400575379E-06,28,1,0,28,140,36,5.1413107069143322,5.1413107069143322,1,5.6860246043504518E-10,0,1.2392943771590164E-16,false,0.0135
"near-dependent",8,42,1E-10,"complete",1,Success,1.6359306400960369E-06,196,5,4,28,140,36,5.1413107069143322,5.1413107069143322,1,5.6860246043504528E-10,0,1.2392943771590164E-16,false,0.020500000000000001
"near-dependent",8,42,9.9999999999999998E-13,"none",1,Success,8.2754338363783811E-05,0,0,0,28,140,36,5.1413107068213968,5.1413107068213968,1,5.6860024886696536E-12,0,6.1965100160893168E-17,false,0.0124
"near-dependent",8,42,9.9999999999999998E-13,"partial",1,Success,0.00021475145154061407,28,1,0,28,140,36,5.1413107068213968,5.1413107068213968,1,5.6859886176725745E-12,0,2.4786278630497295E-16,false,0.0132
"near-dependent",8,42,9.9999999999999998E-13,"complete",1,Success,0.00021475145154065494,196,5,4,28,140,36,5.1413107068213968,5.1413107068213968,1,5.6859886176725745E-12,0,1.8589708972872972E-16,false,0.024799999999999999
"near-dependent",8,42,1E-14,"none",1,Success,0.005822167155619549,0,0,0,28,140,36,5.1413107068204678,5.1413107068204678,1,5.6983554361056908E-14,0,6.193843112156266E-17,false,0.018200000000000001
"near-dependent",8,42,1E-14,"partial",1,Success,0.0057550980032665452,28,1,0,28,140,36,5.1413107068204678,5.1413107068204678,1,5.6971924151475509E-14,0,6.193873390438238E-17,false,0.0132
"near-dependent",8,42,1E-14,"complete",1,Success,0.0057550980032665651,196,5,4,28,140,36,5.1413107068204678,5.1413107068204678,1,5.6971924151475522E-14,0,6.193873390438238E-17,false,0.020299999999999999
"well-conditioned",64,42,,"none",1,Success,4.8134676043016222E-16,0,0,0,2016,85344,2080,2,2,1,1.9973499873950233,0,2.9189308709043538E-16,false,1.2203999999999999
"well-conditioned",64,42,,"partial",1,Success,4.8134676043016222E-16,2016,0,0,2016,85344,2080,2,2,1,1.9973499873950233,0,2.9189308709043538E-16,false,0.42330000000000001
"well-conditioned",64,42,,"complete",1,Success,7.3614456795169193E-16,89376,59,59,2016,85344,2080,2,2,1,1.9967628522273231,0,3.8919078278724726E-16,false,0.88800000000000001
"well-conditioned",128,42,,"none",1,Success,3.7872884551698315E-16,0,0,0,8128,690880,8256,2,2,1,1.9986488382101135,0,1.4579120793857721E-16,false,2.6292
"well-conditioned",128,42,,"partial",1,Success,3.7872884551698315E-16,8128,0,0,8128,690880,8256,2,2,1,1.9986488382101135,0,1.4579120793857721E-16,false,2.3083999999999998
"well-conditioned",128,42,,"complete",1,Success,3.2663909334292015E-16,707136,121,121,8128,690880,8256,2,2,1,1.9983725423539578,0,9.7194138625718134E-17,false,4.8255999999999997
"well-conditioned",256,42,,"none",1,Success,1.8190285717180974E-15,0,0,0,32640,5559680,32896,2,2,1,1.9992695921421642,0,9.7783228745062099E-16,false,17.792400000000001
"well-conditioned",256,42,,"partial",1,Success,1.8190285717180974E-15,32640,0,0,32640,5559680,32896,2,2,1,1.9992695921421642,0,9.7783228745062099E-16,false,17.186499999999999
"well-conditioned",256,42,,"complete",1,Success,1.0569089827573815E-15,5624960,248,248,32640,5559680,32896,2,2,1,1.9992633808020266,0,4.889161437253102E-16,false,27.630299999999998
"well-conditioned",512,42,,"none",1,Success,8.0473175338192809E-16,0,0,0,130816,44608256,131328,2,2,1,1.9996447716626025,0,2.4485763191051672E-16,false,133.81
"well-conditioned",512,42,,"partial",1,Success,8.0473175338192809E-16,130816,0,0,130816,44608256,131328,2,2,1,1.9996447716626025,0,2.4485763191051672E-16,false,132.2978
"well-conditioned",512,42,,"complete",1,Success,1.0129399934751806E-15,44869888,505,505,130816,44608256,131328,2,2,1,1.9996389622259263,0,3.9177221105682695E-16,false,176.97970000000001
